Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
High School,45-54 years old,Tech Lead,1-9 employees,Yes,EUR,20,23,17,Remote,Oracle,C#;Go;Python,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,97969.21
Master's,25-34 years old,Student,500-999 employees,Yes,EUR,16,21,14,Remote,Oracle;PostgreSQL;MySQL,Swift;Python;Go;Ruby,Colleague;Online Courses or Certification,79978.04
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,INR,40,41,38,In-person,MongoDB,Java;C++,Colleague;Other online resources,164944.2
Master's,45-54 years old,Tech Lead,10-99 employees,Yes,USD,33,35,28,Remote,SQLite,Java;Ruby;Python,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,133593.27
PhD,25-34 years old,Student,100-499 employees,No,GBP,42,44,38,In-person,SQLite;MySQL,Go;Kotlin;Swift;JavaScript,Online Courses or Certification;Other online resources,137797.93
High School,18-24 years old,Junior Developer,500-999 employees,Yes,EUR,36,36,35,In-person,MySQL;SQLite,C#;C++;Python,Online Courses or Certification;Other online resources;Colleague,119144.93
High School,18-24 years old,Student,10-99 employees,Yes,USD,37,37,34,In-person,MySQL,C#;Python;Go;Swift,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,115055.83
Bachelor's,18-24 years old,Senior Developer,1-9 employees,No,GBP,42,45,39,Remote,SQLite;MySQL;MongoDB,Python,Books / Physical media,122801.82
Bachelor's,35-44 years old,Junior Developer,500-999 employees,No,INR,46,47,45,Hybrid,SQLite,C++;Ruby;JavaScript,Books / Physical media,138189.63
Bachelor's,18-24 years old,Senior Developer,"5,000 to 9,999 employees",No,USD,7,10,5,Remote,SQLite,C#;Ruby;Swift;Python,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,43529.67
PhD,35-44 years old,Senior Developer,"10,000+ employees",No,GBP,42,45,38,Hybrid,SQLite;PostgreSQL;MongoDB,Python;Swift;C++;JavaScript,Online Courses or Certification;Other online resources;Books / Physical media,152709.0
Bachelor's,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,26,28,24,In-person,Oracle,Python;Swift;Java;Go,Colleague;Other online resources;Online Courses or Certification,98746.81
High School,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,5,9,4,In-person,MySQL;MongoDB,Ruby;Swift;Java;Kotlin,Other online resources;Online Courses or Certification;Books / Physical media,28875.06
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,22,27,20,Hybrid,MongoDB,C++;C#;Java,Books / Physical media,113007.21
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,USD,24,25,22,Hybrid,PostgreSQL;Oracle;MongoDB,Swift,Other online resources;Colleague,103970.24
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,INR,49,50,44,Hybrid,SQLite;PostgreSQL;Oracle,Python;Kotlin;JavaScript,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,176412.9
High School,35-44 years old,Mid-level Developer,10-99 employees,No,INR,13,13,8,Hybrid,SQLite;PostgreSQL;Oracle,Ruby;Java,Books / Physical media;Colleague;Online Courses or Certification,47765.74
Bachelor's,55+ years old,Senior Developer,1-9 employees,No,EUR,23,23,20,In-person,MongoDB;MySQL;Oracle,Java;Go;Ruby,Online Courses or Certification;Other online resources;Books / Physical media,81744.04
Master's,55+ years old,Junior Developer,"5,000 to 9,999 employees",No,USD,44,46,40,Remote,Oracle,Ruby;Python;C++,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,151904.19
High School,55+ years old,Junior Developer,"10,000+ employees",Yes,INR,25,28,24,Remote,SQLite;MySQL,Python,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,94740.04
PhD,45-54 years old,Junior Developer,100-499 employees,Yes,GBP,16,18,12,Remote,MySQL;Oracle;PostgreSQL,Go;C++,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,76197.6
Bachelor's,18-24 years old,Mid-level Developer,1-9 employees,No,EUR,22,24,22,In-person,SQLite;MongoDB;Oracle,Python;C++;JavaScript;Kotlin,Books / Physical media,78570.36
Bachelor's,35-44 years old,Student,"10,000+ employees",Yes,USD,3,4,3,Remote,Oracle;SQLite,JavaScript;Java;Ruby,Books / Physical media;Other online resources,41307.41
High School,25-34 years old,Tech Lead,1-9 employees,No,USD,18,23,16,Hybrid,MySQL;PostgreSQL;MongoDB,Java,Online Courses or Certification;Colleague;Books / Physical media,88479.0
Bachelor's,35-44 years old,Mid-level Developer,10-99 employees,Yes,GBP,40,40,35,In-person,MySQL,Python;Go;Ruby,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,120398.24
Bachelor's,25-34 years old,Senior Developer,"5,000 to 9,999 employees",No,USD,30,35,28,In-person,MongoDB,Java;JavaScript;Python;Swift,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,102651.84
PhD,45-54 years old,Student,"10,000+ employees",No,USD,43,43,42,Hybrid,SQLite;PostgreSQL,C++;Kotlin,Other online resources;Online Courses or Certification;Colleague,148433.26
Master's,35-44 years old,Student,"10,000+ employees",Yes,EUR,16,19,15,In-person,MySQL;SQLite,C#,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,83000.75
Bachelor's,18-24 years old,Senior Developer,500-999 employees,No,USD,22,23,21,In-person,SQLite,Java;Kotlin,Online Courses or Certification;Books / Physical media;Other online resources,76099.09
Bachelor's,35-44 years old,Junior Developer,10-99 employees,Yes,GBP,39,42,38,Remote,MySQL,JavaScript;C++,Books / Physical media,124394.32
Master's,55+ years old,Senior Developer,"1,000 to 4,999 employees",Yes,GBP,13,16,9,Remote,PostgreSQL,Java;C#;Ruby;Swift,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,63862.76
Master's,18-24 years old,Mid-level Developer,500-999 employees,Yes,INR,21,21,21,Remote,MySQL;Oracle,Kotlin;Python;Go;JavaScript,Other online resources;Colleague;Online Courses or Certification,85861.39
Master's,45-54 years old,Tech Lead,100-499 employees,Yes,INR,31,31,27,In-person,SQLite;MongoDB,Java;C++;Ruby;Python,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,130725.45
PhD,25-34 years old,Student,"5,000 to 9,999 employees",Yes,GBP,0,5,0,Hybrid,SQLite;MongoDB,Ruby;JavaScript;Java,Online Courses or Certification;Books / Physical media;Other online resources,49722.03
High School,55+ years old,Senior Developer,100-499 employees,No,EUR,6,7,6,In-person,PostgreSQL,Swift;Kotlin;C#;Python,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,39414.26
High School,18-24 years old,Senior Developer,100-499 employees,No,EUR,14,14,13,In-person,PostgreSQL;MongoDB,Kotlin;Java,Other online resources;Books / Physical media;Colleague,58490.66
PhD,18-24 years old,Senior Developer,10-99 employees,Yes,EUR,0,3,0,In-person,MySQL,Ruby;Python;C++,Books / Physical media;Online Courses or Certification,43639.46
PhD,45-54 years old,Senior Developer,100-499 employees,Yes,USD,40,43,38,Hybrid,Oracle;PostgreSQL,C#,Online Courses or Certification,135117.26
Master's,35-44 years old,Senior Developer,"10,000+ employees",No,INR,14,19,11,Remote,MySQL;MongoDB,Go;Kotlin;Java;C#,Online Courses or Certification;Other online resources;Books / Physical media,73411.25
PhD,25-34 years old,Mid-level Developer,100-499 employees,No,USD,37,39,32,Remote,MongoDB;Oracle;PostgreSQL,Ruby;Go,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,124746.37
Bachelor's,25-34 years old,Tech Lead,100-499 employees,Yes,EUR,45,48,40,Remote,MySQL;PostgreSQL;MongoDB,C++;Go;Swift,Colleague,161640.75
Bachelor's,55+ years old,Tech Lead,1-9 employees,Yes,GBP,42,45,37,Remote,MongoDB;Oracle;SQLite,Ruby;Go,Books / Physical media,152984.84
Master's,55+ years old,Junior Developer,"1,000 to 4,999 employees",Yes,INR,23,27,19,Remote,MySQL;Oracle,JavaScript;Java;Kotlin,Online Courses or Certification;Colleague,93084.99
PhD,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,USD,23,24,22,In-person,PostgreSQL,Python;Swift,Online Courses or Certification;Books / Physical media;Other online resources,119309.47
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,INR,8,11,3,Remote,PostgreSQL;SQLite;Oracle,Kotlin,Online Courses or Certification,59833.2
Bachelor's,18-24 years old,Tech Lead,100-499 employees,No,EUR,5,5,0,Remote,MySQL,C++;Go,Books / Physical media,52752.85
High School,18-24 years old,Tech Lead,1-9 employees,Yes,EUR,10,14,8,Remote,SQLite;PostgreSQL,JavaScript;C#;Kotlin;C++,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,70099.1
Master's,35-44 years old,Student,"5,000 to 9,999 employees",Yes,GBP,24,28,24,Hybrid,MongoDB;SQLite,Swift,Colleague;Online Courses or Certification;Other online resources;Books / Physical media,109295.17
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,EUR,0,5,0,Hybrid,MongoDB;SQLite;MySQL,C#;Java;Ruby,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,58693.45
Bachelor's,55+ years old,Mid-level Developer,500-999 employees,No,INR,33,35,29,In-person,Oracle;MySQL;MongoDB,Swift;Go,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,103744.27
Master's,45-54 years old,Student,1-9 employees,No,GBP,19,24,15,In-person,SQLite;PostgreSQL,Ruby;C#;Kotlin,Books / Physical media;Online Courses or Certification;Other online resources,81397.96
PhD,55+ years old,Junior Developer,"10,000+ employees",Yes,EUR,40,40,37,Hybrid,PostgreSQL,Kotlin,Other online resources;Colleague;Books / Physical media,150950.11
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,USD,22,27,17,In-person,PostgreSQL;Oracle;SQLite,Kotlin;Go;C#,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,100367.75
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,23,26,20,Hybrid,PostgreSQL,Swift;JavaScript;Java,Other online resources,97174.85
Bachelor's,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",No,INR,9,12,5,In-person,SQLite;PostgreSQL;MySQL,C++;Swift,Colleague;Online Courses or Certification;Books / Physical media,39158.67
Master's,45-54 years old,Student,1-9 employees,No,GBP,23,28,19,Remote,SQLite;MySQL,JavaScript,Other online resources,84226.98
High School,18-24 years old,Tech Lead,1-9 employees,No,USD,44,45,42,Hybrid,MySQL;Oracle,Ruby;C#;C++,Other online resources;Colleague,151734.01
Master's,25-34 years old,Tech Lead,500-999 employees,No,INR,27,29,22,Remote,MySQL,Ruby;JavaScript;Go;C++,Books / Physical media;Other online resources;Online Courses or Certification,115999.45
PhD,25-34 years old,Junior Developer,500-999 employees,No,EUR,45,47,43,Hybrid,Oracle;SQLite;MongoDB,C++;Ruby;Kotlin;Swift,Other online resources;Books / Physical media,150278.56
Master's,18-24 years old,Junior Developer,500-999 employees,Yes,USD,47,48,42,Remote,SQLite;MongoDB;Oracle,Ruby;Python;Swift,Colleague,154765.19
High School,45-54 years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,22,26,18,In-person,MongoDB,Swift;Go;Kotlin,Online Courses or Certification;Other online resources;Books / Physical media,89123.66
Master's,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,15,19,13,Remote,PostgreSQL;SQLite;Oracle,Ruby;Kotlin;C#;Go,Other online resources;Books / Physical media,85177.86
Master's,25-34 years old,Junior Developer,1-9 employees,No,INR,41,45,39,Remote,PostgreSQL;Oracle,Swift;Python;C++,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,135005.61
Bachelor's,55+ years old,Senior Developer,1-9 employees,No,EUR,43,47,42,Remote,SQLite,Python,Other online resources,130037.74
Bachelor's,45-54 years old,Mid-level Developer,1-9 employees,No,INR,19,19,16,Remote,PostgreSQL;MySQL,C++;C#;Ruby,Other online resources,68307.42
Master's,45-54 years old,Tech Lead,"1,000 to 4,999 employees",Yes,USD,33,35,28,In-person,MongoDB;Oracle;MySQL,JavaScript;Ruby,Books / Physical media;Online Courses or Certification;Other online resources,139601.8
High School,55+ years old,Mid-level Developer,10-99 employees,No,INR,43,43,41,In-person,Oracle;SQLite;MongoDB,C++;Java,Online Courses or Certification;Books / Physical media;Other online resources,123284.37
PhD,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,USD,7,9,3,Hybrid,Oracle,JavaScript;C++,Other online resources,89964.42
Bachelor's,55+ years old,Junior Developer,"5,000 to 9,999 employees",Yes,USD,23,28,19,Hybrid,MongoDB;PostgreSQL;SQLite,Ruby;C++;Go,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,91327.07
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,INR,45,48,45,In-person,MongoDB;SQLite,C#;Go,Colleague,160535.96
PhD,45-54 years old,Student,10-99 employees,No,EUR,25,29,23,In-person,PostgreSQL,Java;C#,Other online resources;Online Courses or Certification,99268.59
Master's,25-34 years old,Mid-level Developer,100-499 employees,Yes,USD,42,43,40,Remote,PostgreSQL;MongoDB,Ruby,Books / Physical media,140649.35
High School,55+ years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,GBP,9,9,5,Hybrid,SQLite;MongoDB,Python;C++,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,50751.04
Master's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,INR,42,47,39,Hybrid,MySQL;MongoDB,C#,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,157813.2
Master's,35-44 years old,Student,10-99 employees,No,USD,31,32,28,Hybrid,Oracle;MongoDB;PostgreSQL,JavaScript;Kotlin,Online Courses or Certification;Colleague;Other online resources,104470.93
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,USD,31,34,28,Hybrid,Oracle,C++;JavaScript,Colleague,128972.3
High School,18-24 years old,Junior Developer,1-9 employees,Yes,USD,34,38,31,Hybrid,Oracle;PostgreSQL;SQLite,Java;C#;Python,Colleague;Online Courses or Certification;Other online resources,112563.4
Master's,45-54 years old,Student,100-499 employees,Yes,GBP,21,26,16,Hybrid,SQLite;MongoDB,Kotlin;C#,Online Courses or Certification;Other online resources,83126.18
High School,18-24 years old,Mid-level Developer,500-999 employees,Yes,INR,5,6,2,In-person,PostgreSQL;SQLite;MongoDB,Ruby;Go;Kotlin,Online Courses or Certification,40120.63
High School,55+ years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,5,8,4,Hybrid,SQLite,Python;JavaScript;Kotlin,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,49879.05
High School,18-24 years old,Senior Developer,"10,000+ employees",Yes,EUR,33,36,30,Remote,PostgreSQL,JavaScript;Swift,Books / Physical media;Colleague;Other online resources,120501.64
Bachelor's,55+ years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,USD,39,43,35,Remote,PostgreSQL,Ruby,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,133274.88
Master's,45-54 years old,Senior Developer,100-499 employees,No,GBP,34,34,30,In-person,PostgreSQL;SQLite,C++,Online Courses or Certification;Other online resources,111929.03
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,EUR,11,16,8,Remote,PostgreSQL;MySQL,Go;Kotlin;C++;Python,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,89817.81
Bachelor's,55+ years old,Mid-level Developer,"5,000 to 9,999 employees",No,USD,24,24,22,In-person,PostgreSQL,Go,Colleague;Other online resources,88303.58
Bachelor's,18-24 years old,Student,"10,000+ employees",Yes,USD,3,7,0,Hybrid,PostgreSQL,Python;Ruby;C++,Colleague,46562.74
Master's,45-54 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,INR,50,50,49,In-person,MongoDB;PostgreSQL,Swift;JavaScript,Online Courses or Certification;Books / Physical media;Colleague;Other online resources,155056.48
Master's,55+ years old,Student,"10,000+ employees",Yes,USD,46,49,42,Hybrid,MongoDB;MySQL;PostgreSQL,C#,Other online resources;Books / Physical media;Colleague,160685.53
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,USD,20,23,18,In-person,MySQL,Ruby,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,95404.77
Bachelor's,45-54 years old,Student,10-99 employees,Yes,EUR,13,13,10,Hybrid,MongoDB,Python;Kotlin,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,59055.3
Master's,55+ years old,Student,"10,000+ employees",Yes,USD,17,22,17,In-person,MongoDB;PostgreSQL,Ruby,Other online resources;Colleague;Online Courses or Certification,86155.49
High School,55+ years old,Senior Developer,"5,000 to 9,999 employees",Yes,INR,47,48,45,Hybrid,PostgreSQL;MySQL,Ruby;Java;JavaScript,Other online resources;Colleague;Books / Physical media,153791.38
Master's,18-24 years old,Tech Lead,500-999 employees,Yes,USD,28,28,23,Hybrid,PostgreSQL;Oracle;MySQL,Java;Python,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,120660.21
Bachelor's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,INR,44,46,44,Hybrid,SQLite;MySQL;MongoDB,Go;JavaScript;Kotlin,Other online resources,168746.86
PhD,25-34 years old,Tech Lead,1-9 employees,No,USD,28,28,24,In-person,MongoDB;Oracle;SQLite,Python;Kotlin;C++,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,123215.91
